t,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y
32400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32401,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32402,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32403,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32404,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32405,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32406,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32407,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32408,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32409,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32410,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32411,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32412,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32413,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32414,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32415,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32416,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32417,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32418,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32419,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32420,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32421,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32422,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32423,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32424,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32425,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32426,10000.0,10000.0,9993.055555555555,10000.0,10000.0,10000.0
32427,10000.0,10000.0,9986.11111111111,10000.0,10000.0,10000.0
32428,10000.0,10000.0,9979.166666666664,10000.0,10000.0,10000.0
32429,10000.0,10000.0,9972.222222222219,10000.0,10000.0,10000.0
32430,10000.0,10000.0,9965.277777777774,10000.0,10000.0,10000.0
32431,10000.0,10000.0,9958.333333333328,10000.0,10000.0,10000.0
32432,10000.0,10000.0,9951.388888888883,10000.0,10000.0,10000.0
32433,10000.0,10000.0,9944.444444444438,10000.0,10000.0,10000.0
32434,10000.0,10000.0,9937.499999999993,10000.0,10000.0,10000.0
32435,10000.0,10000.0,9930.555555555547,10000.0,10000.0,10000.0
32436,10000.0,10000.0,9923.611111111102,10000.0,10000.0,10000.0
32437,10000.0,10000.0,9916.666666666657,10000.0,10000.0,10000.0
32438,10000.0,10000.0,9909.722222222212,10000.0,10000.0,10000.0
32439,10000.0,10000.0,9902.777777777766,10000.0,10000.0,10000.0
32440,10000.0,10000.0,9895.833333333321,10000.0,10000.0,10000.0
32441,10000.0,10000.0,9888.888888888876,10000.0,10000.0,10000.0
32442,10000.0,10000.0,9881.94444444443,10000.0,10000.0,10000.0
32443,10000.0,10000.0,9874.999999999985,10000.0,10000.0,10000.0
32444,10000.0,10000.0,9868.05555555554,10000.0,10000.0,10000.0
32445,10000.0,10000.0,9861.111111111095,10000.0,10000.0,10000.0
32446,10000.0,10000.0,9854.16666666665,10000.0,10000.0,10000.0
32447,10000.0,10000.0,9847.222222222204,10000.0,10000.0,10000.0
32448,10000.0,10000.0,9840.27777777776,10000.0,10000.0,10000.0
32449,10000.0,10000.0,9833.333333333314,10000.0,10000.0,10000.0
32450,10000.0,10000.0,9826.388888888869,10000.0,10000.0,10000.0
32451,10000.0,10000.0,9819.444444444423,10000.0,10000.0,10000.0
32452,10000.0,10000.0,9812.499999999978,10000.0,10000.0,10000.0
32453,10000.0,10000.0,9805.555555555533,10000.0,10000.0,10000.0
32454,10000.0,10000.0,9798.611111111088,10000.0,10000.0,10000.0
32455,10000.0,10000.0,9791.666666666642,10000.0,10000.0,10000.0
32456,10000.0,10000.0,9784.722222222197,10000.0,10000.0,10000.0
32457,10000.0,10000.0,9777.777777777752,10000.0,10000.0,10000.0
32458,10000.0,10000.0,9770.833333333307,10000.0,10000.0,10000.0
32459,10000.0,10000.0,9763.888888888861,10000.0,10000.0,10000.0
32460,10000.0,10000.0,9756.944444444416,10000.0,10000.0,10000.0
32461,10000.0,10000.0,9749.99999999997,10000.0,10000.0,10000.0
32462,10000.0,10000.0,9743.055555555526,10000.0,10000.0,10000.0
32463,10000.0,10000.0,9736.11111111108,10000.0,10000.0,10000.0
32464,10000.0,10000.0,9729.166666666635,10000.0,10000.0,10000.0
32465,10000.0,10000.0,9722.22222222219,10000.0,10000.0,10000.0
32466,10000.0,10000.0,9715.277777777745,10000.0,10000.0,10000.0
32467,10000.0,10000.0,9708.3333333333,10000.0,10000.0,10000.0
32468,10000.0,10000.0,9701.388888888854,10000.0,10000.0,10000.0
32469,10000.0,10000.0,9694.444444444409,10000.0,10000.0,10000.0
32470,10000.0,10000.0,9687.499999999964,10000.0,10000.0,10000.0
32471,10000.0,10000.0,9680.555555555518,10000.0,10000.0,10000.0
32472,10000.0,10000.0,9673.611111111073,10000.0,10000.0,10000.0
32473,10000.0,10000.0,9666.666666666628,10000.0,10000.0,10000.0
32474,10000.0,10000.0,9659.722222222183,10000.0,10000.0,10000.0
32475,10000.0,10000.0,9652.777777777737,10000.0,10000.0,10000.0
32476,10000.0,10000.0,9645.833333333292,10000.0,10000.0,10000.0
32477,10000.0,10000.0,9638.888888888847,10000.0,10000.0,10000.0
32478,10000.0,10000.0,9631.944444444402,10000.0,10000.0,10000.0
32479,10000.0,10000.0,9624.999999999956,10000.0,10000.0,10000.0
32480,10000.0,10000.0,9618.055555555511,10000.0,10000.0,10000.0
32481,10000.0,10000.0,9611.111111111066,10000.0,10000.0,10000.0
32482,10000.0,10000.0,9604.16666666662,10000.0,10000.0,10000.0
32483,10000.0,10000.0,9597.222222222175,10000.0,10000.0,10000.0
32484,10000.0,10000.0,9590.27777777773,10000.0,10000.0,10000.0
32485,10000.0,10000.0,9583.333333333285,10000.0,10000.0,10000.0
32486,10000.0,10000.0,9576.38888888884,10000.0,10000.0,10000.0
32487,10000.0,10000.0,9569.444444444394,10000.0,10000.0,10000.0
32488,10000.0,10000.0,9562.499999999949,10000.0,10000.0,10000.0
32489,10000.0,10000.0,9555.555555555504,10000.0,10000.0,10000.0
32490,10000.0,10000.0,9548.611111111059,10000.0,10000.0,10000.0
32491,10000.0,10000.0,9541.666666666613,10000.0,10000.0,10000.0
32492,10000.0,10000.0,9534.722222222168,10000.0,10000.0,10000.0
32493,10000.0,10000.0,9527.777777777723,10000.0,10000.0,10000.0
32494,10000.0,10000.0,9520.833333333278,10000.0,10000.0,10000.0
32495,10000.0,10000.0,9513.888888888832,10000.0,10000.0,10000.0
32496,10000.0,10000.0,9506.944444444387,10000.0,10000.0,10000.0
32497,10000.0,10000.0,9499.999999999942,10000.0,10000.0,10000.0
32498,10000.0,10000.0,9493.055555555497,10000.0,10000.0,10000.0
32499,10000.0,10000.0,9486.111111111051,10000.0,10000.0,10000.0
32500,10000.0,10000.0,9479.166666666606,10000.0,10000.0,10000.0
32501,10000.0,10000.0,9472.22222222216,10000.0,10000.0,10000.0
32502,10000.0,10000.0,9465.277777777716,10000.0,10000.0,10000.0
32503,10000.0,10000.0,9458.33333333327,10000.0,10000.0,10000.0
32504,10000.0,10000.0,9451.388888888825,10000.0,10000.0,10000.0
32505,10000.0,10000.0,9444.44444444438,10000.0,10000.0,10000.0
32506,10000.0,10000.0,9437.499999999935,10000.0,10000.0,10000.0
32507,10000.0,10000.0,9430.55555555549,10000.0,10000.0,10000.0
32508,10000.0,10000.0,9423.611111111044,10000.0,10000.0,10000.0
32509,10000.0,10000.0,9416.666666666599,10000.0,10000.0,10000.0
32510,10000.0,10000.0,9409.722222222154,10000.0,10000.0,10000.0
32511,10000.0,10000.0,9402.777777777708,10000.0,10000.0,10000.0
32512,10000.0,10000.0,9395.833333333263,10000.0,10000.0,10000.0
32513,10000.0,10000.0,9388.888888888818,10000.0,10000.0,10000.0
32514,10000.0,10000.0,9381.944444444372,10000.0,10000.0,10000.0
32515,10000.0,10000.0,9374.999999999927,10000.0,10000.0,10000.0
32516,10000.0,10000.0,9368.055555555482,10000.0,10000.0,10000.0
32517,10000.0,10000.0,9361.111111111037,10000.0,10000.0,10000.0
32518,10000.0,10000.0,9354.166666666591,10000.0,10000.0,10000.0
32519,10000.0,10000.0,9347.222222222146,10000.0,10000.0,10000.0
32520,10000.0,10000.0,9340.277777777701,10000.0,10000.0,10000.0
32521,10000.0,10000.0,9333.333333333256,10000.0,10000.0,10000.0
32522,10000.0,10000.0,9326.38888888881,10000.0,10000.0,10000.0
32523,10000.0,10000.0,9319.444444444365,10000.0,10000.0,10000.0
32524,10000.0,10000.0,9312.49999999992,10000.0,10000.0,10000.0
32525,10000.0,10000.0,9305.555555555475,10000.0,10000.0,10000.0
32526,10000.0,10000.0,9298.61111111103,10000.0,10000.0,10000.0
32527,10000.0,10000.0,9291.666666666584,10000.0,10000.0,10000.0
32528,10000.0,10000.0,9284.722222222139,10000.0,10000.0,10000.0
32529,10000.0,10000.0,9277.777777777694,10000.0,10000.0,10000.0
32530,10000.0,10000.0,9270.833333333248,10000.0,10000.0,10000.0
32531,10000.0,10000.0,9263.888888888803,10000.0,10000.0,10000.0
32532,10000.0,10000.0,9256.944444444358,10000.0,10000.0,10000.0
32533,10000.0,10000.0,9249.999999999913,10000.0,10000.0,10000.0
32534,10000.0,10000.0,9243.055555555467,10000.0,10000.0,10000.0
32535,10000.0,10000.0,9236.111111111022,10000.0,10000.0,10000.0
32536,10000.0,10000.0,9229.166666666577,10000.0,10000.0,10000.0
32537,10000.0,10000.0,9222.222222222132,10000.0,10000.0,10000.0
32538,10000.0,10000.0,9215.277777777686,10000.0,10000.0,10000.0
32539,10000.0,10000.0,9208.333333333241,10000.0,10000.0,10000.0
32540,10000.0,10000.0,9201.388888888796,10000.0,10000.0,10000.0
32541,10000.0,10000.0,9194.44444444435,10000.0,10000.0,10000.0
32542,10000.0,10000.0,9187.499999999905,10000.0,10000.0,10000.0
32543,10000.0,10000.0,9180.55555555546,10000.0,10000.0,10000.0
32544,10000.0,10000.0,9173.611111111015,10000.0,10000.0,10000.0
32545,10000.0,10000.0,9166.66666666657,10000.0,10000.0,10000.0
32546,10000.0,10000.0,9159.722222222124,10000.0,10000.0,10000.0
32547,10000.0,10000.0,9152.77777777768,10000.0,10000.0,10000.0
32548,10000.0,10000.0,9145.833333333234,10000.0,10000.0,10000.0
32549,10000.0,10000.0,9138.888888888789,10000.0,10000.0,10000.0
32550,10000.0,10000.0,9131.944444444343,10000.0,10000.0,10000.0
32551,10000.0,10000.0,9124.999999999898,10000.0,10000.0,10000.0
32552,10000.0,10000.0,9118.055555555453,10000.0,10000.0,10000.0
32553,10000.0,10000.0,9111.111111111008,10000.0,10000.0,10000.0
32554,10000.0,10000.0,9104.166666666562,10000.0,10000.0,10000.0
32555,10000.0,10000.0,9097.222222222117,10000.0,10000.0,10000.0
32556,10000.0,10000.0,9090.277777777672,10000.0,10000.0,10000.0
32557,10000.0,10000.0,9083.333333333227,10000.0,10000.0,10000.0
32558,10000.0,10000.0,9076.388888888781,10000.0,10000.0,10000.0
32559,10000.0,10000.0,9069.444444444336,10000.0,10000.0,10000.0
32560,10000.0,10000.0,9062.49999999989,10000.0,10000.0,10000.0
32561,10000.0,10000.0,9055.555555555446,10000.0,10000.0,10000.0
32562,10000.0,10000.0,9048.611111111,10000.0,10000.0,10000.0
32563,10000.0,10000.0,9041.666666666555,10000.0,10000.0,10000.0
32564,10000.0,10000.0,9034.72222222211,10000.0,10000.0,10000.0
32565,10000.0,10000.0,9027.777777777665,10000.0,10000.0,10000.0
32566,10000.0,10000.0,9020.83333333322,10000.0,10000.0,10000.0
32567,10000.0,10000.0,9013.888888888774,10000.0,10000.0,10000.0
32568,10000.0,10000.0,9006.944444444329,10000.0,10000.0,10000.0
32569,10000.0,10000.0,8999.999999999884,10000.0,10000.0,10000.0
32570,10000.0,10000.0,8993.055555555438,10000.0,10000.0,10000.0
32571,10000.0,10000.0,8986.111111110993,10000.0,10000.0,10000.0
32572,10000.0,10000.0,8979.166666666548,10000.0,10000.0,10000.0
32573,10000.0,10000.0,8972.222222222103,10000.0,10000.0,10000.0
32574,10000.0,10000.0,8965.277777777657,10000.0,10000.0,10000.0
32575,10000.0,10000.0,8958.333333333212,10000.0,10000.0,10000.0
32576,10000.0,10000.0,8951.388888888767,10000.0,10000.0,10000.0
32577,10000.0,10000.0,8944.444444444322,10000.0,10000.0,10000.0
32578,10000.0,10000.0,8937.499999999876,10000.0,10000.0,10000.0
32579,10000.0,10000.0,8930.555555555431,10000.0,10000.0,10000.0
32580,10000.0,10000.0,8923.611111110986,10000.0,10000.0,10000.0
