t,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y
32400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32401,9993.055555555555,10000.0,10000.0,10000.0,10000.0,10000.0
32402,9986.11111111111,10000.0,10000.0,10000.0,10000.0,10000.0
32403,9979.166666666664,10000.0,10000.0,10000.0,10000.0,10000.0
32404,9972.222222222219,10000.0,10000.0,10000.0,10000.0,10000.0
32405,9965.277777777774,10000.0,10000.0,10000.0,10000.0,10000.0
32406,9958.333333333328,10000.0,10000.0,10000.0,10000.0,10000.0
32407,9951.388888888883,10000.0,10000.0,10000.0,10000.0,10000.0
32408,9944.444444444438,10000.0,10000.0,10000.0,10000.0,10000.0
32409,9937.499999999993,10000.0,10000.0,10000.0,10000.0,10000.0
32410,9930.555555555547,10000.0,10000.0,10000.0,10000.0,10000.0
32411,9923.611111111102,10000.0,10000.0,10000.0,10000.0,10000.0
32412,9916.666666666657,10000.0,10000.0,10000.0,10000.0,10000.0
32413,9909.722222222212,10000.0,10000.0,10000.0,10000.0,10000.0
32414,9902.777777777766,10000.0,10000.0,10000.0,10000.0,10000.0
32415,9895.833333333321,10000.0,10000.0,10000.0,10000.0,10000.0
32416,9888.888888888876,10000.0,10000.0,10000.0,10000.0,10000.0
32417,9881.94444444443,10000.0,10000.0,10000.0,10000.0,10000.0
32418,9874.999999999985,10000.0,10000.0,10000.0,10000.0,10000.0
32419,9868.05555555554,10000.0,10000.0,10000.0,10000.0,10000.0
32420,9861.111111111095,10000.0,10000.0,10000.0,10000.0,10000.0
32421,9854.16666666665,10000.0,10000.0,10000.0,10000.0,10000.0
32422,9847.222222222204,10000.0,10000.0,10000.0,10000.0,10000.0
32423,9840.27777777776,10000.0,10000.0,10000.0,10000.0,10000.0
32424,9833.333333333314,10000.0,10000.0,10000.0,10000.0,10000.0
32425,9826.388888888869,10000.0,10000.0,10000.0,10000.0,10000.0
32426,9819.444444444423,10000.0,10000.0,10000.0,10000.0,10000.0
32427,9812.499999999978,10000.0,9993.055555555555,10000.0,10000.0,10000.0
32428,9805.555555555533,10000.0,9986.11111111111,10000.0,10000.0,10000.0
32429,9798.611111111088,10000.0,9979.166666666664,10000.0,10000.0,10000.0
32430,9791.666666666642,10000.0,9972.222222222219,10000.0,10000.0,10000.0
32431,9784.722222222197,10000.0,9965.277777777774,10000.0,10000.0,10000.0
32432,9777.777777777752,10000.0,9958.333333333328,10000.0,10000.0,10000.0
32433,9770.833333333307,10000.0,9951.388888888883,10000.0,10000.0,10000.0
32434,9763.888888888861,10000.0,9944.444444444438,10000.0,10000.0,10000.0
32435,9756.944444444416,10000.0,9937.499999999993,10000.0,10000.0,10000.0
32436,9749.99999999997,10000.0,9930.555555555547,10000.0,10000.0,10000.0
32437,9743.055555555526,10000.0,9923.611111111102,10000.0,10000.0,10000.0
32438,9736.11111111108,10000.0,9916.666666666657,10000.0,10000.0,10000.0
32439,9729.166666666635,10000.0,9909.722222222212,10000.0,10000.0,10000.0
32440,9722.22222222219,10000.0,9902.777777777766,10000.0,10000.0,10000.0
32441,9715.277777777745,10000.0,9895.833333333321,10000.0,10000.0,10000.0
32442,9708.3333333333,10000.0,9888.888888888876,10000.0,10000.0,10000.0
