tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,35221,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,35804,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40183,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,41220,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42032,1000000000000,1000000000000,1000000000000,False
35978,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,37853,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,43321,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39819,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39169,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39202,1000000000000,1000000000000,False
38918,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44670,1000000000000,1000000000000,1000000000000,False
37986,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45908,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,45132,1000000000000,1000000000000,1000000000000,False
37185,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,38495,1000000000000,1000000000000,False
46176,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
39659,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
46599,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,38511,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47285,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47701,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,45253,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41197,1000000000000,1000000000000,False
54204,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,39919,1000000000000,False
1000000000000,38264,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
40556,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42638,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45488,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,47919,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43284,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46565,1000000000000,False
41690,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42567,False
1000000000000,1000000000000,1000000000000,49869,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44043,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44657,1000000000000,False
44283,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50462,1000000000000,1000000000000,1000000000000,False
41233,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51046,1000000000000,False
1000000000000,1000000000000,1000000000000,47939,1000000000000,1000000000000,1000000000000,False
56750,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
