tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33978,1000000000000,1000000000000,False
1000000000000,1000000000000,34672,1000000000000,False
35125,1000000000000,1000000000000,1000000000000,True
33624,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42782,False
1000000000000,1000000000000,44108,1000000000000,False
1000000000000,1000000000000,41735,1000000000000,False
41523,1000000000000,1000000000000,1000000000000,True
1000000000000,40759,1000000000000,1000000000000,False
38347,1000000000000,1000000000000,1000000000000,True
1000000000000,37658,1000000000000,1000000000000,False
1000000000000,41350,1000000000000,1000000000000,False
39919,1000000000000,1000000000000,1000000000000,True
1000000000000,38331,1000000000000,1000000000000,False
1000000000000,1000000000000,42130,1000000000000,False
34386,1000000000000,1000000000000,1000000000000,True
1000000000000,38961,1000000000000,1000000000000,False
1000000000000,42587,1000000000000,1000000000000,False
1000000000000,42177,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59551,True
1000000000000,37321,1000000000000,1000000000000,False
1000000000000,36968,1000000000000,1000000000000,False
35663,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44868,1000000000000,False
1000000000000,41788,1000000000000,1000000000000,False
36618,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39628,1000000000000,False
1000000000000,1000000000000,38249,1000000000000,False
1000000000000,1000000000000,46973,1000000000000,False
1000000000000,1000000000000,40836,1000000000000,False
1000000000000,1000000000000,1000000000000,46101,False
1000000000000,1000000000000,1000000000000,47082,False
1000000000000,47964,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46636,False
39099,1000000000000,1000000000000,1000000000000,True
37274,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46986,False
1000000000000,1000000000000,1000000000000,59266,True
1000000000000,1000000000000,1000000000000,47860,False
1000000000000,1000000000000,1000000000000,47798,False
1000000000000,1000000000000,1000000000000,49029,False
1000000000000,45595,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48667,False
1000000000000,49872,1000000000000,1000000000000,False
1000000000000,48436,1000000000000,1000000000000,False
39290,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48920,False
1000000000000,1000000000000,1000000000000,59935,True
1000000000000,1000000000000,1000000000000,59115,True
1000000000000,1000000000000,1000000000000,60156,True
1000000000000,49373,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49715,False
1000000000000,47251,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59726,True
42450,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59487,True
1000000000000,1000000000000,1000000000000,49574,False
1000000000000,1000000000000,1000000000000,49643,False
1000000000000,1000000000000,1000000000000,60032,True
1000000000000,48840,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49841,False
1000000000000,1000000000000,1000000000000,50631,False
